,i,ppron,pronoun,negemo,adverb,anger,bio,cogmech,conj,sad,swear,affect,body,present,discrep,relativ,article,preps,posemo,space,time,funct,leisure,achieve,relig,social,incl,motion,we,auxverb
009d96a823b6f6c085c092fb177491f6,853.0,1388.0,2076.0,243.0,657.0,86.0,366.0,2175.0,825.0,48.0,29.0,993.0,115.0,1119.0,242.0,2020.0,764.0,1506.0,745.0,753.0,922.0,6987.0,161.0,203.0,44.0,1237.0,623.0,289.0,109.0,877.0
00c69df4ec41f61da30ed2874b9fbfaf,5.0,12.0,18.0,2.0,4.0,2.0,1.0,20.0,4.0,0.0,1.0,7.0,0.0,9.0,5.0,10.0,5.0,6.0,5.0,1.0,8.0,50.0,0.0,4.0,1.0,19.0,2.0,1.0,0.0,6.0
011679a3ae49998801ada93d822b7302,379.0,505.0,709.0,110.0,258.0,27.0,136.0,602.0,266.0,38.0,9.0,365.0,32.0,436.0,65.0,848.0,216.0,542.0,243.0,252.0,458.0,2359.0,116.0,52.0,12.0,305.0,186.0,121.0,21.0,312.0
013df2d13511f23adefe80a3347911dc,22.0,27.0,36.0,9.0,17.0,6.0,14.0,29.0,7.0,0.0,3.0,25.0,10.0,31.0,3.0,42.0,17.0,29.0,16.0,16.0,23.0,129.0,3.0,2.0,0.0,20.0,4.0,3.0,0.0,18.0
01530624766b3be63c7709c6581c335d,905.0,1249.0,1835.0,283.0,556.0,97.0,285.0,1590.0,509.0,72.0,29.0,742.0,121.0,905.0,213.0,1096.0,435.0,883.0,451.0,407.0,511.0,5066.0,136.0,117.0,40.0,664.0,271.0,150.0,20.0,710.0
01cb2ebb310b2d88bcf8a4f5faf6ab60,59.0,106.0,169.0,53.0,101.0,20.0,54.0,244.0,100.0,10.0,8.0,177.0,19.0,144.0,25.0,343.0,107.0,252.0,124.0,140.0,149.0,884.0,36.0,39.0,6.0,132.0,83.0,48.0,8.0,132.0
022e61eafebe3d5cb81993105337a05f,16.0,49.0,78.0,12.0,15.0,10.0,8.0,78.0,23.0,0.0,2.0,29.0,4.0,24.0,8.0,49.0,30.0,50.0,17.0,22.0,15.0,240.0,11.0,5.0,8.0,52.0,27.0,11.0,10.0,30.0
02e23ec1c20e1c1ff45201c9a64f0756,68.0,162.0,266.0,57.0,85.0,16.0,39.0,303.0,90.0,16.0,7.0,139.0,10.0,150.0,23.0,285.0,160.0,225.0,77.0,108.0,133.0,1066.0,18.0,41.0,9.0,175.0,62.0,36.0,23.0,146.0
03b6072a243347cf634eee1018be408d,151.0,212.0,277.0,79.0,95.0,36.0,74.0,239.0,56.0,23.0,17.0,162.0,33.0,171.0,27.0,245.0,88.0,183.0,82.0,100.0,118.0,901.0,32.0,12.0,7.0,106.0,46.0,20.0,11.0,153.0
03e6c4eca4269c183fa0e1780f73faba,18.0,34.0,48.0,13.0,17.0,4.0,15.0,59.0,28.0,5.0,1.0,31.0,6.0,39.0,2.0,61.0,26.0,50.0,18.0,28.0,20.0,208.0,4.0,1.0,2.0,31.0,23.0,10.0,4.0,30.0
044f5651b920abc718440c0b19534fc3,9.0,26.0,40.0,6.0,8.0,2.0,10.0,43.0,14.0,2.0,0.0,24.0,4.0,19.0,2.0,47.0,15.0,41.0,18.0,19.0,27.0,142.0,2.0,3.0,3.0,29.0,10.0,1.0,1.0,15.0
0467ce1e63e2a48da92e1ff53f052829,74.0,112.0,184.0,13.0,54.0,7.0,25.0,189.0,81.0,0.0,1.0,75.0,7.0,92.0,40.0,110.0,54.0,133.0,60.0,49.0,49.0,603.0,15.0,11.0,7.0,92.0,48.0,12.0,4.0,90.0
04a3601e8b319f740167723a58c488e7,488.0,830.0,1216.0,225.0,377.0,54.0,337.0,1291.0,492.0,55.0,21.0,751.0,96.0,782.0,131.0,1443.0,483.0,1098.0,520.0,466.0,755.0,4513.0,170.0,187.0,120.0,688.0,370.0,194.0,57.0,656.0
04be1d6fa64adb60a3d2847f4f905ec1,590.0,856.0,1323.0,207.0,545.0,97.0,183.0,1280.0,503.0,43.0,28.0,542.0,74.0,753.0,167.0,1421.0,505.0,1212.0,330.0,624.0,593.0,4858.0,159.0,99.0,56.0,718.0,271.0,169.0,27.0,631.0
052d07c87f511121889e653d7151e931,1.0,3.0,5.0,0.0,3.0,0.0,1.0,8.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,0.0,8.0,2.0,3.0,2.0,18.0,0.0,0.0,0.0,3.0,5.0,1.0,2.0,1.0
054e5fd22c26a92926a61c261c99054c,546.0,836.0,1245.0,216.0,417.0,70.0,242.0,1256.0,436.0,56.0,7.0,564.0,86.0,662.0,117.0,1331.0,554.0,991.0,344.0,536.0,570.0,4355.0,175.0,113.0,21.0,572.0,346.0,194.0,53.0,515.0
055638f0a33b2df4031fadb86076861f,522.0,819.0,1213.0,239.0,416.0,106.0,320.0,1361.0,466.0,32.0,57.0,644.0,134.0,709.0,165.0,1270.0,529.0,1179.0,397.0,495.0,618.0,4710.0,131.0,159.0,34.0,742.0,370.0,160.0,31.0,668.0
059c18ea701ce88479c9e10a25cb8284,235.0,328.0,473.0,87.0,216.0,26.0,139.0,542.0,176.0,19.0,18.0,292.0,58.0,302.0,51.0,654.0,236.0,512.0,205.0,265.0,313.0,1916.0,62.0,52.0,9.0,279.0,123.0,68.0,9.0,237.0
06165dddbf8856657d57d27600c4944c,50.0,68.0,98.0,31.0,51.0,12.0,18.0,123.0,47.0,9.0,2.0,85.0,8.0,59.0,14.0,128.0,54.0,103.0,54.0,37.0,71.0,402.0,22.0,9.0,7.0,60.0,43.0,18.0,2.0,40.0
06312a08f7ea8a1d37d02f4f2c84527f,65.0,87.0,123.0,40.0,35.0,17.0,37.0,111.0,45.0,12.0,9.0,73.0,14.0,68.0,15.0,156.0,31.0,103.0,33.0,64.0,63.0,420.0,30.0,15.0,9.0,42.0,24.0,26.0,2.0,65.0
07244b3fd4536a8eea069ab02057e220,42.0,53.0,75.0,8.0,25.0,7.0,8.0,79.0,34.0,0.0,5.0,35.0,8.0,37.0,10.0,72.0,22.0,65.0,27.0,23.0,33.0,272.0,5.0,3.0,3.0,20.0,17.0,14.0,0.0,44.0
0724fe854bd455061ba84efecdeff469,192.0,422.0,626.0,135.0,172.0,39.0,119.0,655.0,148.0,32.0,15.0,336.0,41.0,336.0,87.0,554.0,275.0,461.0,200.0,207.0,262.0,2128.0,77.0,63.0,47.0,383.0,149.0,70.0,65.0,305.0
0765c56b2da0e50568488dbbbe93751b,177.0,391.0,649.0,140.0,226.0,61.0,126.0,611.0,215.0,25.0,27.0,325.0,56.0,329.0,36.0,685.0,338.0,591.0,185.0,331.0,251.0,2440.0,91.0,86.0,26.0,415.0,181.0,95.0,36.0,283.0
077243dfd4750094bde7eb01e5cfcb42,63.0,164.0,245.0,42.0,67.0,18.0,56.0,242.0,89.0,7.0,8.0,113.0,12.0,171.0,40.0,196.0,108.0,178.0,71.0,88.0,71.0,843.0,32.0,26.0,8.0,193.0,43.0,35.0,6.0,128.0
07967c0034df97340e595e79a5e81d27,45.0,73.0,103.0,16.0,37.0,5.0,8.0,74.0,25.0,7.0,3.0,48.0,2.0,30.0,9.0,72.0,27.0,51.0,32.0,28.0,36.0,285.0,7.0,8.0,0.0,66.0,20.0,5.0,5.0,33.0
07da88e13509940f3116716552d6a32c,268.0,500.0,743.0,93.0,265.0,34.0,101.0,730.0,274.0,22.0,13.0,384.0,34.0,476.0,99.0,698.0,243.0,625.0,289.0,288.0,281.0,2609.0,66.0,60.0,27.0,480.0,171.0,104.0,27.0,369.0
08074f06d6882e73b4db242b38be237a,454.0,576.0,820.0,175.0,258.0,70.0,126.0,899.0,403.0,43.0,51.0,590.0,56.0,653.0,133.0,814.0,249.0,604.0,413.0,242.0,457.0,2799.0,50.0,69.0,22.0,299.0,242.0,96.0,3.0,419.0
0846a688fabc9c78c9bef2d0787ad5c8,62.0,156.0,254.0,57.0,88.0,22.0,84.0,257.0,81.0,10.0,16.0,124.0,32.0,170.0,33.0,194.0,76.0,134.0,67.0,86.0,80.0,808.0,16.0,17.0,7.0,186.0,60.0,23.0,8.0,146.0
088bf0ed841bcc366475b3975eb1b9d2,813.0,1088.0,1645.0,364.0,528.0,189.0,314.0,1673.0,559.0,71.0,135.0,673.0,113.0,769.0,195.0,1250.0,623.0,1138.0,307.0,565.0,492.0,5391.0,203.0,105.0,35.0,757.0,372.0,148.0,19.0,660.0
090dd511c63a028cbd1ae9f297619354,272.0,386.0,508.0,76.0,166.0,39.0,96.0,424.0,165.0,8.0,20.0,308.0,30.0,246.0,41.0,408.0,175.0,292.0,231.0,154.0,177.0,1584.0,51.0,31.0,16.0,243.0,127.0,70.0,18.0,242.0
0948ee8309b2a50a256dfd7d983951f5,14.0,22.0,28.0,7.0,6.0,4.0,8.0,17.0,8.0,1.0,3.0,11.0,3.0,9.0,6.0,6.0,4.0,4.0,4.0,1.0,4.0,63.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0,13.0
094dd7aca278568d73ee4e634cbfde3f,198.0,409.0,566.0,82.0,134.0,33.0,94.0,466.0,197.0,24.0,15.0,226.0,40.0,288.0,73.0,474.0,133.0,340.0,143.0,211.0,173.0,1643.0,42.0,53.0,22.0,375.0,101.0,68.0,13.0,228.0
0a7cad88b8fa4d2682b1c52376a81800,242.0,372.0,586.0,76.0,162.0,24.0,127.0,644.0,215.0,18.0,11.0,234.0,50.0,351.0,93.0,525.0,267.0,426.0,156.0,231.0,232.0,2159.0,41.0,48.0,21.0,316.0,161.0,53.0,12.0,390.0
0aab2d73fbf36227b9aadecec20505bf,204.0,423.0,657.0,95.0,151.0,30.0,101.0,578.0,225.0,19.0,9.0,264.0,22.0,313.0,79.0,417.0,165.0,368.0,167.0,171.0,164.0,1892.0,51.0,42.0,11.0,406.0,156.0,65.0,34.0,243.0
