,funct,article,verb,auxverb,social,family,friend,humans,affect,posemo,negemo,anx,anger,past,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,present,percept,see,hear,feel,bio,body,health,sexual,future,ingest,adverb,preps,conj,negate,pronoun,quant,number,swear,relativ,motion,space,time,ppron,work,achieve,leisure,home,money,relig,death,i,assent,nonfl,filler,we,you,shehe,they,ipron
009d96a823b6f6c085c092fb177491f6,6987.0,764.0,1653.0,877.0,1237.0,83.0,54.0,107.0,993.0,745.0,243.0,37.0,86.0,293.0,48.0,2175.0,293.0,190.0,242.0,331.0,225.0,89.0,623.0,365.0,1119.0,360.0,131.0,77.0,102.0,366.0,115.0,105.0,70.0,106.0,87.0,657.0,1506.0,825.0,186.0,2076.0,328.0,83.0,29.0,2020.0,289.0,753.0,922.0,1388.0,199.0,203.0,161.0,86.0,77.0,44.0,17.0,853.0,83.0,20.0,75.0,109.0,293.0,61.0,72.0,688.0
00c69df4ec41f61da30ed2874b9fbfaf,50.0,5.0,14.0,6.0,19.0,0.0,2.0,3.0,7.0,5.0,2.0,0.0,2.0,2.0,0.0,20.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,4.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,6.0,4.0,4.0,18.0,1.0,2.0,1.0,10.0,1.0,1.0,8.0,12.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,6.0
011679a3ae49998801ada93d822b7302,2359.0,216.0,602.0,312.0,305.0,18.0,6.0,32.0,365.0,243.0,110.0,12.0,27.0,92.0,38.0,602.0,55.0,49.0,65.0,93.0,56.0,25.0,186.0,107.0,436.0,85.0,38.0,14.0,18.0,136.0,32.0,26.0,51.0,28.0,32.0,258.0,542.0,266.0,50.0,709.0,98.0,38.0,9.0,848.0,121.0,252.0,458.0,505.0,119.0,52.0,116.0,63.0,31.0,12.0,9.0,379.0,44.0,13.0,22.0,21.0,45.0,38.0,22.0,204.0
013df2d13511f23adefe80a3347911dc,129.0,17.0,43.0,18.0,20.0,1.0,0.0,6.0,25.0,16.0,9.0,0.0,6.0,11.0,0.0,29.0,4.0,1.0,3.0,10.0,2.0,2.0,4.0,4.0,31.0,3.0,3.0,0.0,0.0,14.0,10.0,1.0,1.0,0.0,3.0,17.0,29.0,7.0,1.0,36.0,8.0,1.0,3.0,42.0,3.0,16.0,23.0,27.0,4.0,2.0,3.0,1.0,4.0,0.0,1.0,22.0,11.0,1.0,3.0,0.0,3.0,0.0,2.0,9.0
01530624766b3be63c7709c6581c335d,5066.0,435.0,1358.0,710.0,664.0,27.0,8.0,43.0,742.0,451.0,283.0,33.0,97.0,231.0,72.0,1590.0,292.0,166.0,213.0,276.0,165.0,70.0,271.0,267.0,905.0,261.0,103.0,56.0,88.0,285.0,121.0,66.0,51.0,88.0,53.0,556.0,883.0,509.0,133.0,1835.0,214.0,57.0,29.0,1096.0,150.0,407.0,511.0,1249.0,96.0,117.0,136.0,55.0,26.0,40.0,24.0,905.0,68.0,13.0,71.0,20.0,252.0,44.0,28.0,586.0
01cb2ebb310b2d88bcf8a4f5faf6ab60,884.0,107.0,233.0,132.0,132.0,27.0,1.0,7.0,177.0,124.0,53.0,2.0,20.0,53.0,10.0,244.0,23.0,15.0,25.0,37.0,24.0,11.0,83.0,48.0,144.0,45.0,28.0,5.0,6.0,54.0,19.0,19.0,4.0,16.0,13.0,101.0,252.0,100.0,34.0,169.0,36.0,10.0,8.0,343.0,48.0,140.0,149.0,106.0,29.0,39.0,36.0,13.0,8.0,6.0,2.0,59.0,22.0,1.0,3.0,8.0,9.0,21.0,9.0,63.0
022e61eafebe3d5cb81993105337a05f,240.0,30.0,45.0,30.0,52.0,1.0,0.0,2.0,29.0,17.0,12.0,1.0,10.0,9.0,0.0,78.0,5.0,7.0,8.0,13.0,6.0,5.0,27.0,13.0,24.0,9.0,2.0,2.0,4.0,8.0,4.0,2.0,1.0,1.0,1.0,15.0,50.0,23.0,6.0,78.0,9.0,2.0,2.0,49.0,11.0,22.0,15.0,49.0,1.0,5.0,11.0,2.0,1.0,8.0,0.0,16.0,3.0,0.0,5.0,10.0,21.0,1.0,1.0,29.0
02e23ec1c20e1c1ff45201c9a64f0756,1066.0,160.0,245.0,146.0,175.0,4.0,1.0,15.0,139.0,77.0,57.0,11.0,16.0,57.0,16.0,303.0,47.0,34.0,23.0,46.0,50.0,13.0,62.0,48.0,150.0,46.0,12.0,14.0,15.0,39.0,10.0,24.0,2.0,19.0,3.0,85.0,225.0,90.0,31.0,266.0,81.0,25.0,7.0,285.0,36.0,108.0,133.0,162.0,50.0,41.0,18.0,2.0,22.0,9.0,8.0,68.0,2.0,5.0,17.0,23.0,54.0,4.0,13.0,104.0
03b6072a243347cf634eee1018be408d,901.0,88.0,254.0,153.0,106.0,1.0,1.0,14.0,162.0,82.0,79.0,6.0,36.0,52.0,23.0,239.0,29.0,33.0,27.0,43.0,20.0,6.0,46.0,52.0,171.0,51.0,19.0,12.0,18.0,74.0,33.0,21.0,7.0,9.0,17.0,95.0,183.0,56.0,18.0,277.0,40.0,13.0,17.0,245.0,20.0,100.0,118.0,212.0,31.0,12.0,32.0,12.0,6.0,7.0,13.0,151.0,17.0,6.0,16.0,11.0,31.0,15.0,4.0,65.0
03e6c4eca4269c183fa0e1780f73faba,208.0,26.0,45.0,30.0,31.0,1.0,0.0,1.0,31.0,18.0,13.0,2.0,4.0,4.0,5.0,59.0,6.0,4.0,2.0,4.0,8.0,5.0,23.0,10.0,39.0,10.0,5.0,2.0,3.0,15.0,6.0,5.0,4.0,0.0,0.0,17.0,50.0,28.0,8.0,48.0,4.0,6.0,1.0,61.0,10.0,28.0,20.0,34.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,18.0,3.0,2.0,4.0,4.0,1.0,7.0,4.0,14.0
